[Epoch 1] Step 100/4688 | Batch Loss: 0.6728
[Epoch 2] Step 800/4688 | Batch Loss: 0.5030
[Epoch 2] Step 900/4688 | Batch Loss: 0.4007
[Epoch 2] Step 1000/4688 | Batch Loss: 0.2630
[Epoch 2] Step 1100/4688 | Batch Loss: 0.3816
[Epoch 2] Step 1200/4688 | Batch Loss: 0.3933
[Epoch 2] Step 1300/4688 | Batch Loss: 0.4965
[Epoch 2] Step 1400/4688 | Batch Loss: 0.5778
[Epoch 2] Step 1500/4688 | Batch Loss: 0.3973
[Epoch 2] Step 1600/4688 | Batch Loss: 0.2400
[Epoch 2] Step 1700/4688 | Batch Loss: 0.3427
[Epoch 2] Step 1800/4688 | Batch Loss: 0.4987
[Epoch 2] Step 1900/4688 | Batch Loss: 0.3750
[Epoch 2] Step 2000/4688 | Batch Loss: 0.4483
[Epoch 2] Step 2100/4688 | Batch Loss: 0.5087
[Epoch 2] Step 2200/4688 | Batch Loss: 0.4412
[Epoch 2] Step 2300/4688 | Batch Loss: 0.2308
[Epoch 2] Step 2400/4688 | Batch Loss: 0.7142
[Epoch 2] Step 2500/4688 | Batch Loss: 0.3685
[Epoch 2] Step 2600/4688 | Batch Loss: 0.3638
[Epoch 2] Step 2700/4688 | Batch Loss: 0.4756
[Epoch 2] Step 2800/4688 | Batch Loss: 0.3279
[Epoch 2] Step 2900/4688 | Batch Loss: 0.4725
[Epoch 2] Step 3000/4688 | Batch Loss: 0.3992
[Epoch 2] Step 3100/4688 | Batch Loss: 0.6130
[Epoch 2] Step 3200/4688 | Batch Loss: 0.4294
[Epoch 2] Step 3300/4688 | Batch Loss: 0.4639
[Epoch 2] Step 3400/4688 | Batch Loss: 0.3232
[Epoch 2] Step 3500/4688 | Batch Loss: 0.3351
[Epoch 2] Step 3600/4688 | Batch Loss: 0.4383
[Epoch 2] Step 3700/4688 | Batch Loss: 0.3670
[Epoch 2] Step 3800/4688 | Batch Loss: 0.1908
[Epoch 2] Step 3900/4688 | Batch Loss: 0.3096
[Epoch 2] Step 4000/4688 | Batch Loss: 0.4309
[Epoch 2] Step 4100/4688 | Batch Loss: 0.3820
[Epoch 2] Step 4200/4688 | Batch Loss: 0.3684
[Epoch 2] Step 4300/4688 | Batch Loss: 0.5503
[Epoch 2] Step 4400/4688 | Batch Loss: 0.2688
[Epoch 2] Step 4500/4688 | Batch Loss: 0.3129
[Epoch 2] Step 4600/4688 | Batch Loss: 0.3645
[Epoch 2] Average Loss: 0.3964
[Epoch 3] Step 100/4688 | Batch Loss: 0.3286
[Epoch 3] Step 200/4688 | Batch Loss: 0.2769
[Epoch 3] Step 300/4688 | Batch Loss: 0.2560
[Epoch 3] Step 400/4688 | Batch Loss: 0.3682
[Epoch 3] Step 500/4688 | Batch Loss: 0.3553
[Epoch 3] Step 600/4688 | Batch Loss: 0.2750
[Epoch 3] Step 700/4688 | Batch Loss: 0.4741
[Epoch 3] Step 800/4688 | Batch Loss: 0.3067
[Epoch 3] Step 900/4688 | Batch Loss: 0.4553
[Epoch 3] Step 1000/4688 | Batch Loss: 0.3781
[Epoch 3] Step 1100/4688 | Batch Loss: 0.4638
[Epoch 3] Step 1200/4688 | Batch Loss: 0.3552
[Epoch 3] Step 1300/4688 | Batch Loss: 0.3968
[Epoch 3] Step 1400/4688 | Batch Loss: 0.2400
[Epoch 3] Step 1500/4688 | Batch Loss: 0.4278
[Epoch 3] Step 1600/4688 | Batch Loss: 0.2438
[Epoch 3] Step 1700/4688 | Batch Loss: 0.3276
[Epoch 3] Step 1800/4688 | Batch Loss: 0.3771
[Epoch 3] Step 1900/4688 | Batch Loss: 0.2943
[Epoch 3] Step 2000/4688 | Batch Loss: 0.3632
[Epoch 3] Step 2100/4688 | Batch Loss: 0.2438
[Epoch 3] Step 2200/4688 | Batch Loss: 0.3415
[Epoch 3] Step 2300/4688 | Batch Loss: 0.3602
[Epoch 3] Step 2400/4688 | Batch Loss: 0.2067
[Epoch 3] Step 2500/4688 | Batch Loss: 0.4056
[Epoch 3] Step 2600/4688 | Batch Loss: 0.3380
[Epoch 3] Step 2700/4688 | Batch Loss: 0.4185
[Epoch 3] Step 2800/4688 | Batch Loss: 0.5544
[Epoch 3] Step 2900/4688 | Batch Loss: 0.5799
[Epoch 3] Step 3000/4688 | Batch Loss: 0.3635
[Epoch 3] Step 3100/4688 | Batch Loss: 0.2251
[Epoch 3] Step 3200/4688 | Batch Loss: 0.4490
[Epoch 3] Step 3300/4688 | Batch Loss: 0.5425
[Epoch 3] Step 3400/4688 | Batch Loss: 0.3871
[Epoch 3] Step 3500/4688 | Batch Loss: 0.2042
[Epoch 3] Step 3600/4688 | Batch Loss: 0.2453
[Epoch 3] Step 3700/4688 | Batch Loss: 0.3901
[Epoch 3] Step 3800/4688 | Batch Loss: 0.3538
[Epoch 3] Step 3900/4688 | Batch Loss: 0.4031
[Epoch 3] Step 4000/4688 | Batch Loss: 0.3383
[Epoch 3] Step 4100/4688 | Batch Loss: 0.6192
[Epoch 3] Step 4200/4688 | Batch Loss: 0.4533
[Epoch 3] Step 4300/4688 | Batch Loss: 0.2335
[Epoch 3] Step 4400/4688 | Batch Loss: 0.2245
[Epoch 3] Step 4500/4688 | Batch Loss: 0.3721
[Epoch 3] Step 4600/4688 | Batch Loss: 0.4505
[Epoch 3] Average Loss: 0.3650
[MLP] Accuracy: 0.8109 F1: 0.8210127780407004
